sys_id,number,opened_at,resolved_at,sys_created_on,sys_updated_on,sys_created_by,sys_updated_by,sys_domain,region,service_id,priority,impact,urgency,state,assignment_group,assigned_to,category,subcategory,service_type,contact_type,short_description,description,impacted_elements,duration_minutes,mttr_minutes,close_code,close_notes
b14f24b4830846ee920cfc040674f1f3,INC0003001,2026-02-24 19:15:00,,2026-02-24 19:15:00,2026-02-24 19:15:00,system,system,global,BARCELONA,SVC-VOICE,P2,High,High,In Progress,RAN_TEAM,ran.analyst,Network,Performance,4G,Monitoring,Downtown congestion impacting data service,"Downtown congestion impacting data service affecting SITE-10,SITE-11","SITE-10,SITE-11",180,240,,
58ffbda0949043c2ad6936a0fc015373,INC0003002,2026-02-26 10:22:00,,2026-02-26 10:22:00,2026-02-26 10:22:00,system,system,global,BARCELONA,SVC-VOICE,P1,Critical,High,In Progress,TRANSPORT_TEAM,transport.eng,Network,Transport,Backhaul,Monitoring,Backhaul latency causing voice drops,Backhaul latency causing voice drops affecting SITE-10,SITE-10,120,180,,
1de328fad6be4349a0d1d6d835207d5b,INC0003003,2026-02-27 12:05:00,,2026-02-27 12:05:00,2026-02-27 12:05:00,system,system,global,BARCELONA,SVC-DATA,P2,High,High,In Progress,CORE_TEAM,core.eng,Network,Core,Core,Monitoring,Elevated core CPU impacting session setup,Elevated core CPU impacting session setup affecting CORE-BCN-01,CORE-BCN-01,90,120,,
6efec750227d4926b85a6452ac4b7b10,INC0003004,2026-02-28 09:30:00,2026-02-28 13:30:00,2026-02-28 09:30:00,2026-02-28 13:30:00,system,system,global,BARCELONA,SVC-VOICE,P2,High,Medium,Resolved,TRANSPORT_TEAM,transport.eng,Network,Transport,Backhaul,Monitoring,Backhaul issue resolved after reroute,Backhaul issue resolved after reroute affecting SITE-10,SITE-10,240,240,Resolved,Service restored
485939e0fa904449a5250ab2810e856d,INC0003101,2026-02-22 20:10:00,,2026-02-22 20:10:00,2026-02-22 20:10:00,system,system,global,BARCELONA,SVC-DATA,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,Evening capacity strain in central district,Evening capacity strain in central district affecting SITE-10,SITE-10,120,180,,
031fa63af3d44d60bbb96a5495b47d8f,INC0003102,2026-02-23 20:10:00,,2026-02-23 20:10:00,2026-02-23 20:10:00,system,system,global,BARCELONA,SVC-DATA,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,Evening capacity strain in central district,Evening capacity strain in central district affecting SITE-10,SITE-10,120,180,,
17b410ce8643405c823cdd0aa3bd8dc3,INC0003103,2026-02-24 20:10:00,,2026-02-24 20:10:00,2026-02-24 20:10:00,system,system,global,BARCELONA,SVC-DATA,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,Evening capacity strain in central district,Evening capacity strain in central district affecting SITE-10,SITE-10,120,180,,
31f3c4afc5304f34ba81bedd2dda5168,INC0003104,2026-02-25 20:10:00,,2026-02-25 20:10:00,2026-02-25 20:10:00,system,system,global,BARCELONA,SVC-DATA,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,Evening capacity strain in central district,Evening capacity strain in central district affecting SITE-10,SITE-10,120,180,,
d8a6b881b2d64c5da46ba9e282de57c5,INC0003105,2026-02-26 20:10:00,,2026-02-26 20:10:00,2026-02-26 20:10:00,system,system,global,BARCELONA,SVC-DATA,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,Evening capacity strain in central district,Evening capacity strain in central district affecting SITE-10,SITE-10,120,180,,
6c6b4d04757b41c9a9465718b1bd973c,INC0003106,2026-02-27 20:10:00,,2026-02-27 20:10:00,2026-02-27 20:10:00,system,system,global,BARCELONA,SVC-DATA,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,Evening capacity strain in central district,Evening capacity strain in central district affecting SITE-10,SITE-10,120,180,,
1b3b58cd55a04a01ad8fc2d37866e919,INC0003107,2026-02-28 20:10:00,,2026-02-28 20:10:00,2026-02-28 20:10:00,system,system,global,BARCELONA,SVC-DATA,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,Evening capacity strain in central district,Evening capacity strain in central district affecting SITE-10,SITE-10,120,180,,
05fd7c670782465d8baf44b0d23fbda5,INC0003202,2026-02-24 15:20:00,,2026-02-24 15:20:00,2026-02-24 15:20:00,system,system,global,BARCELONA,SVC-VOICE,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Mobility,RAN,Phone,Handover instability reported by subscribers,Handover instability reported by subscribers affecting SITE-12,SITE-12,90,120,,
b8f0cfd88f1745caad6db2ef92e9051c,INC0003203,2026-02-25 15:20:00,,2026-02-25 15:20:00,2026-02-25 15:20:00,system,system,global,BARCELONA,SVC-VOICE,P3,Medium,Medium,Open,RAN_TEAM,ran.analyst,Network,Mobility,RAN,Phone,Handover instability reported by subscribers,Handover instability reported by subscribers affecting SITE-11,SITE-11,90,120,,
3165e23b5b4d46109e1f297ba24fb3fa,INC0004001,2026-02-22 02:15:00,2026-02-22 04:15:00,2026-02-22 02:15:00,2026-02-22 04:15:00,system,system,global,BARCELONA,SVC-DATA,P4,Low,Low,Resolved,CORE_TEAM,core.eng,Network,Core,Core,Planned,Planned maintenance window for core upgrade,Planned maintenance window for core upgrade affecting CORE-BCN-02,CORE-BCN-02,120,120,Resolved,Service restored
656206e5f9894cf1abd91579f4684f51,INC0004002,2026-02-23 03:40:00,2026-02-23 06:40:00,2026-02-23 03:40:00,2026-02-23 06:40:00,system,system,global,BARCELONA,SVC-VOICE,P2,High,High,Resolved,TRANSPORT_TEAM,transport.eng,Network,Transport,Fiber,Monitoring,"Fiber cut impacting metro ring, traffic rerouted","Fiber cut impacting metro ring, traffic rerouted affecting CORE-BCN-02",CORE-BCN-02,180,240,Resolved,Service restored
eccd64dd0a2c4c89ab004ec3d86d43db,INC0004003,2026-02-24 05:20:00,2026-02-24 07:50:00,2026-02-24 05:20:00,2026-02-24 07:50:00,system,system,global,BARCELONA,SVC-DATA,P4,Low,Low,Resolved,RAN_TEAM,ran.analyst,Network,RAN,Capacity,Planned,Planned capacity expansion on SITE-11,Planned capacity expansion on SITE-11 affecting SITE-11,SITE-11,150,150,Resolved,Service restored
bb43f418e46d437887c8bcc1835a9d76,INC0004004,2026-02-25 01:10:00,,2026-02-25 01:10:00,2026-02-25 01:10:00,system,system,global,BARCELONA,SVC-VOICE,P2,High,Medium,In Progress,FIELD_TEAM,field.eng,Network,Facilities,Power,Monitoring,"Power fluctuation at SITE-12, generator on","Power fluctuation at SITE-12, generator on affecting SITE-12",SITE-12,60,90,,
ee874592ed0943c39978fac9df658dd4,INC0004005,2026-02-26 22:30:00,,2026-02-26 22:30:00,2026-02-26 22:30:00,system,system,global,BARCELONA,SVC-DATA,P2,High,Medium,In Progress,RAN_TEAM,ran.analyst,Network,Performance,5G,Monitoring,"Unexpected traffic surge during event, temporary congestion","Unexpected traffic surge during event, temporary congestion affecting SITE-10,SITE-11","SITE-10,SITE-11",90,120,,
